Construction year,Covered parking spaces,Outdoor parking spaces,Living area,Living room,Dining room,Kitchen type,Bedrooms,Dressing room,Bathrooms,Toilets,Office,Furnished,TV cable,Surface of the plot,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,"Gas, water & electricity",Garden,Garden orientation,Terrace,price,zipcode,Available as of,Available date,Neighbourhood or locality,Floor,Number of floors,Building condition,Number of frontages,Surroundings type,Living room surface,Kitchen surface,Bedroom 1 surface,Bedroom 2 surface,Basement,Terrace surface,Bedroom 3 surface,Armored door,Office surface,Street frontage width,Shower rooms,Primary energy consumption,Energy class,Unnamed: 47,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Planning permission obtained,Extra information,Virtual visit,Elevator,Accessible for disabled people,Intercom,Swimming pool,Tenement building,Address,Website,Flood zone type,Attic,Width of the lot on the street,Property name,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Bedroom 4 surface,Professional space surface,Garden surface,How many fireplaces?,Basement surface,Attic surface,Bedroom 5 surface,Visio phone,Laundry room,Professional space,As built plan,Heating type,Double glazing,Obligation to build,Terrace orientation,Number of annexes,Secure access / alarm,Jacuzzi,Sauna,External reference,Total ground floor buildable,Isolated,Caretaker,Air conditioning,Internet
32,3,Yes,14,24,15,1,1,Yes,Yes,20160218-0000326671-01-4,1955,Not specified,3,1,No,6,At delivery,South West,Urban,4,26,1932,150,"€389,000",3500,99,To be done up,2,,54,Semi equipped,9,14,10,1,No,748,53 kg CO₂/m²,1,,Good,208,2,5,Electric,After signing the deed,1977,To renovate,4,1,At delivery,After signing the deed,1,No,No,2023,Good,8,To be defined,Bruxelles (19 communes),2,To be done up,After signing the deed,As new,November 1 2023 - 12:00 AM,Gent en omstreken,2021,No,No,Bruxelles (19 communes),12,After signing the deed,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
155,14,Yes,16,24,13,1,Yes,Yes,Yes,1958,1955,To renovate,3,17 m,No,6,At delivery,South West,Urban,1,26,1932,150,"€199,000",3740,99,To be done up,2,,54,28,Semi equipped,4,13,1,No,697,53 kg CO₂/m²,Countryside,,Good,208,Yes,5,Electric,After signing the deed,1977,To renovate,4,1,At delivery,After signing the deed,1,No,No,2023,Good,8,To be defined,Bruxelles (19 communes),2,To be done up,4,As new,November 1 2023 - 12:00 AM,Gent en omstreken,2021,No,No,Bruxelles (19 communes),12,After signing the deed,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
65,14,Yes,No,24,13,3,Yes,Yes,Yes,Cicindriawijk I,1955,1,3,2,No,6,At delivery,South West,Urban,2,26,1932,150,"€140,000",3800,99,To be done up,2,Semi equipped,9,1,1,2,13,1,No,697,1981,Countryside,,Good,208,Yes,5,Electric,After signing the deed,1977,To renovate,4,1,At delivery,After signing the deed,1,No,No,2023,Good,8,To be defined,Bruxelles (19 communes),2,To be done up,Good,Urban,November 1 2023 - 12:00 AM,Gent en omstreken,2021,No,No,Bruxelles (19 communes),12,After signing the deed,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
130,2,Yes,11,24,13,1,No,Yes,Yes,2,1955,1,3,2,No,6,At delivery,South West,Urban,2,26,1932,150,"€185,000",3800,99,To be done up,2,Semi equipped,9,23,15,15,1,Yes,336,,1981,Urban,,Good,208,Semi equipped,5,Electric,After signing the deed,1977,To renovate,4,1,At delivery,After signing the deed,1,No,No,2023,Good,8,To be defined,Bruxelles (19 communes),2,To be done up,Good,Urban,November 1 2023 - 12:00 AM,Gent en omstreken,2021,No,No,Bruxelles (19 communes),12,After signing the deed,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
7,2,Yes,No,24,13,1,No,11,Yes,1995,1955,Urban,3,49,No,6,At delivery,South West,Urban,USA installed,26,1932,150,"€189,000",9040,99,To be done up,2,Semi equipped,9,1,15,10,1,No,No,,As new,Urban,,Good,208,Semi equipped,5,Electric,After signing the deed,1977,To renovate,4,1,At delivery,After signing the deed,1,No,No,2023,Good,8,To be defined,Bruxelles (19 communes),2,To be done up,29,Urban,November 1 2023 - 12:00 AM,Gent en omstreken,2021,No,No,Bruxelles (19 communes),12,After signing the deed,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
7,3,Yes,11,24,No,1,1,90,Yes,No,1955,Yes,,Connected,Yes,Yes,South East,24,Urban,USA installed,26,1932,150,"€299,000",9040,99,To be done up,2,Semi equipped,9,Yes,15,21,20,1,No,No,As new,30,No,No,208,12,No,Electric,After signing the deed,1977,To renovate,4,1,At delivery,After signing the deed,1,No,No,2023,Good,8,To be defined,Bruxelles (19 communes),2,To be done up,29,Urban,November 1 2023 - 12:00 AM,Gent en omstreken,2021,No,No,Bruxelles (19 communes),12,After signing the deed,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
7,3,Yes,14,24,No,No,1,No,No,64,No,No,Connected,No,6,Yes,South East,24,115,26,Semi equipped,13,150,"€261,000",9040,99,To be done up,2,Semi equipped,9,14,15,21,10,1,10,Yes,As new,3,No,No,No,12,No,Electric,After signing the deed,1977,To renovate,4,1,At delivery,After signing the deed,1,No,No,2023,Good,8,To be defined,Bruxelles (19 communes),2,To be done up,To renovate,Urban,November 1 2023 - 12:00 AM,Gent en omstreken,2021,No,No,Bruxelles (19 communes),12,After signing the deed,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
62,3,Yes,1,1,1,Yes,No,No,No,No,No,No,Connected,No,6,After signing the deed,September 1 2022 - 12:00 AM,1923,2,2,Semi equipped,13,150,"€225,000",1070,Urban,,2,Yes,Yes,USA installed,15,1,10,1,No,Yes,As new,Good,No,No,No,12,Yes,Electric,After signing the deed,1977,To renovate,4,1,At delivery,After signing the deed,16,No,No,2023,Good,8,To be defined,Bruxelles (19 communes),2,To be done up,To renovate,Urban,November 1 2023 - 12:00 AM,Gent en omstreken,2021,No,No,Bruxelles (19 communes),12,After signing the deed,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
18,3,Yes,1,1,1,2,No,No,No,No,No,Europark,Connected,No,6,After signing the deed,September 1 2022 - 12:00 AM,1923,2,2,Semi equipped,13,150,"€235,000",1000,2,,2,USA installed,1,8,1,1,Yes,1,No,Yes,After signing the deed,Good,No,No,No,12,Yes,Electric,After signing the deed,1977,To renovate,4,1,At delivery,After signing the deed,16,2000,1,6,Good,8,To be defined,Bruxelles (19 communes),2,To be done up,To renovate,42,November 1 2023 - 12:00 AM,Gent en omstreken,2021,No,No,Bruxelles (19 communes),12,After signing the deed,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
Countryside,Hyper equipped,Yes,10,1,1,1,16,No,No,1962,No,4,Connected,No,6,After signing the deed,September 1 2022 - 12:00 AM,1923,2,2,Semi equipped,13,150,"€255,000",1140,Good,2,1,,85,28,Yes,12,16,1,Yes,Yes,After signing the deed,5,No,No,No,12,6,Electric,After signing the deed,1977,To renovate,4,1,At delivery,After signing the deed,2,2000,1,6,Good,8,To be defined,Bruxelles (19 communes),2,To be done up,To renovate,42,November 1 2023 - 12:00 AM,Gent en omstreken,2021,No,No,Bruxelles (19 communes),12,After signing the deed,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
,Hyper equipped,Yes,1,1,1,1,4,No,No,After signing the deed,1910,3,Connected,No,6,After signing the deed,September 1 2022 - 12:00 AM,1923,2,2,Semi equipped,13,150,"€260,000",1050,2,Isolated,1,56,20,Installed,10,1,1,No,Yes,Yes,1,To be done up,No,No,September 1 2022 - 12:00 AM,12,6,Electric,After signing the deed,1977,To renovate,4,1,At delivery,After signing the deed,15,2000,1,6,Good,8,To be defined,Bruxelles (19 communes),2,To be done up,To renovate,42,November 1 2023 - 12:00 AM,Gent en omstreken,2021,No,No,Bruxelles (19 communes),12,After signing the deed,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
Installed,Hyper equipped,Yes,No,1,1,1,Yes,Yes,East,4,1910,As new,Connected,No,6,After signing the deed,September 1 2022 - 12:00 AM,1923,2,2,Semi equipped,13,150,"€278,000",9040,2,Isolated,1,14,1,18,10,1,1,6,Yes,Yes,1,92,No,No,September 1 2022 - 12:00 AM,12,2,Electric,After signing the deed,1977,To renovate,4,1,At delivery,After signing the deed,15,2000,1,6,Good,8,To be defined,Bruxelles (19 communes),2,To be done up,To renovate,26,November 1 2023 - 12:00 AM,Gent en omstreken,2021,No,No,Bruxelles (19 communes),12,After signing the deed,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
Installed,Hyper equipped,Yes,No,1,1,1,Yes,Yes,East,4,2011,As new,2,No,6,After signing the deed,September 1 2022 - 12:00 AM,1923,2,2,2,As new,150,"€278,000",9041,2,Isolated,1,14,1,18,10,1,1,6,Yes,Yes,1,92,No,No,Petershof,12,2,Electric,After signing the deed,1977,To renovate,4,1,At delivery,After signing the deed,15,2000,1,6,Good,8,To be defined,Bruxelles (19 communes),2,To be done up,To renovate,26,November 1 2023 - 12:00 AM,Gent en omstreken,2021,No,No,Bruxelles (19 communes),12,After signing the deed,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
Installed,Hyper equipped,Yes,12,1,1,1,No,South West,East,4,3,As new,4,No,6,After signing the deed,September 1 2022 - 12:00 AM,1923,2,2,As new,81,150,"€298,000",9820,2,Isolated,1,13,2,12,10,1,No,1,Yes,Yes,1,21,No,No,2013,12,2,Electric,After signing the deed,1977,To renovate,4,1,At delivery,After signing the deed,15,2000,1,6,Good,8,To be defined,Bruxelles (19 communes),2,To be done up,To renovate,26,November 1 2023 - 12:00 AM,Gent en omstreken,2021,No,No,Bruxelles (19 communes),12,After signing the deed,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
Installed,Not specified,Yes,12,1,1,1,No,South West,At delivery,June 1 2023 - 12:00 AM,1,As new,1,No,6,After signing the deed,September 1 2022 - 12:00 AM,1923,2,2,45,A,150,"€304,000",1160,A+,40 kg CO₂/m²,1,13,2,12,10,1,No,1,Yes,Yes,1,21,No,No,2013,12,2,Yes,No,Non flood zone,To renovate,4,1,At delivery,After signing the deed,15,2000,1,6,Good,8,To be defined,Bruxelles (19 communes),2,To be done up,To renovate,26,November 1 2023 - 12:00 AM,Gent en omstreken,2021,No,No,Bruxelles (19 communes),12,After signing the deed,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
Installed,No,,12,1,1,1,No,South West,At delivery,June 1 2023 - 12:00 AM,1,As new,1,No,6,After signing the deed,September 1 2022 - 12:00 AM,1923,2,2,45,A,150,"€365,000",3080,Not specified,Not specified,Not specified,13,2,12,10,1,No,1,Yes,Yes,1,21,No,No,2013,12,2,Yes,No,Non flood zone,At delivery,December 31 2024 - 12:00 AM,Parc de Tervuren,17,After signing the deed,15,2000,1,6,Good,8,To be defined,Bruxelles (19 communes),Not specified,To be done up,To renovate,26,122,Gent en omstreken,Not specified,No,No,Bruxelles (19 communes),12,After signing the deed,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
Installed,No,,12,1,1,1,No,South West,At delivery,June 1 2023 - 12:00 AM,1,As new,1,No,6,After signing the deed,September 1 2022 - 12:00 AM,1923,2,2,45,A,150,"€415,000",1180,Not specified,Not specified,Not specified,13,2,12,10,1,No,1,Yes,Yes,1,21,No,No,2013,12,2,Yes,,Non flood zone,80,B,Not specified,17,After signing the deed,Yes,2000,1,6,Good,15 kg CO₂/m²,To be defined,Bruxelles (19 communes),Not specified,To be done up,To renovate,26,122,Gent en omstreken,Not specified,No,No,Bruxelles (19 communes),12,After signing the deed,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
,4,,14,1,1,2,2,South West,At delivery,June 1 2023 - 12:00 AM,1,As new,1,No,6,After signing the deed,September 1 2022 - 12:00 AM,1923,2,2,45,A,150,"€419,000",1200,1,"Living area (residential, urban or rural)",Not specified,161,45,Not installed,9,10,15,1,Yes,No,1,21,39,No,2013,12,2,Yes,After signing the deed,July 1 2022 - 12:00 AM,1964,6,10,To renovate,After signing the deed,12,2000,1,6,Good,15 kg CO₂/m²,To be defined,Bruxelles (19 communes),Not specified,To be done up,To renovate,26,2,Gent en omstreken,Not specified,No,No,Bruxelles (19 communes),12,After signing the deed,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
,4,,14,1,1,2,2,South West,120,Not specified,1,Not specified,1,No,6,After signing the deed,September 1 2022 - 12:00 AM,1923,2,2,45,A,150,"€425,000",1000,Yes,"Living area (residential, urban or rural)",Not specified,161,45,Not installed,9,10,15,1,Yes,No,25 kg CO₂/m²,Yes,39,No,2013,12,C,Yes,After signing the deed,July 1 2022 - 12:00 AM,1964,6,10,To renovate,After signing the deed,12,2000,1,6,Good,15 kg CO₂/m²,To be defined,Bruxelles (19 communes),Not specified,To be done up,To renovate,26,2,Gent en omstreken,Not specified,After signing the deed,No,Bruxelles (19 communes),12,After signing the deed,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
2,4,,14,1,1,2,2,South West,120,Not specified,1,Not specified,1,No,6,After signing the deed,September 1 2022 - 12:00 AM,1923,2,2,45,A,150,"€429,000",8620,Yes,"Living area (residential, urban or rural)",Not specified,1,1,No,6,10,15,1,Yes,No,25 kg CO₂/m²,Yes,39,No,2013,12,C,1972,4,5,As new,2,Urban,65,After signing the deed,12,2000,1,6,Good,15 kg CO₂/m²,To be defined,Bruxelles (19 communes),Not specified,To be done up,To renovate,26,Installed,Gent en omstreken,Not specified,After signing the deed,No,Bruxelles (19 communes),12,After signing the deed,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
2,Yes,Non flood zone,1,1,1,1,45,South West,A,A-,1,55 kg CO₂/m²,1,No,6,After signing the deed,September 1 2022 - 12:00 AM,1923,2,2,45,A,150,"€485,000",1200,Yes,"Living area (residential, urban or rural)",Not specified,1,1,No,6,After signing the deed,15,1,Yes,No,25 kg CO₂/m²,Not specified,39,No,2013,12,C,1972,4,5,As new,2,Urban,65,After signing the deed,12,2000,1,6,Good,15 kg CO₂/m²,To be defined,Bruxelles (19 communes),Not specified,To be done up,To renovate,26,Installed,Gent en omstreken,Not specified,After signing the deed,No,Bruxelles (19 communes),12,After signing the deed,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
2,No,No,1,1,1,1,45,South West,A,A-,1,55 kg CO₂/m²,1,No,6,After signing the deed,September 1 2022 - 12:00 AM,1923,2,2,45,A,150,"€585,000",8300,Yes,"Living area (residential, urban or rural)",Yes,1,1,No,6,After signing the deed,15,1,Yes,No,25 kg CO₂/m²,Not specified,39,No,2013,12,C,Non flood zone,Heist,1,1,Not specified,Not specified,Not specified,After signing the deed,12,2000,1,6,Good,15 kg CO₂/m²,To be defined,Bruxelles (19 communes),Not specified,To be done up,To renovate,26,Not specified,Gent en omstreken,Not specified,After signing the deed,No,Bruxelles (19 communes),12,After signing the deed,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
2,No,No,1,1,1,1,45,South West,A,A-,1,55 kg CO₂/m²,1,No,6,After signing the deed,September 1 2022 - 12:00 AM,1923,2,2,45,A,150,"€1,450,000",1180,Yes,Yes,Yes,1,1,No,6,After signing the deed,15,1,Yes,No,25 kg CO₂/m²,Not specified,39,No,2013,12,C,Non flood zone,After signing the deed,1,June 11 2019 - 12:00 AM,1,1,60,After signing the deed,12,2000,1,6,Good,15 kg CO₂/m²,To be defined,Bruxelles (19 communes),Not specified,To be done up,To renovate,26,B,B,15 kg CO₂/m²,After signing the deed,No,Bruxelles (19 communes),12,After signing the deed,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
21,13,No,1,1,1,121,No,South West,A,A-,1,55 kg CO₂/m²,1,No,6,After signing the deed,September 1 2022 - 12:00 AM,1923,2,2,45,A,150,Make,6061,Installed,Yes,Yes,1,1,3,13,1,No,Connected,Yes,No,25 kg CO₂/m²,Not specified,39,No,2013,10,C,Non flood zone,To be defined,1955,Good,11 m,2,1,After signing the deed,1,2000,1,6,Good,15 kg CO₂/m²,To be defined,Bruxelles (19 communes),19,To be done up,To renovate,26,Urban,,140,After signing the deed,No,Bruxelles (19 communes),12,After signing the deed,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
2,Yes,No,500,1,1,South,No,South West,To be done up,A-,1,1,1,135,6,After signing the deed,September 1 2022 - 12:00 AM,1923,16,Semi equipped,45,A,3,Make,4000,1,Yes,Yes,1,1,11,Yes,1,425,Connected,Yes,After signing the deed,25 kg CO₂/m²,Not specified,1951,No,2013,10,4,Non flood zone,To be defined,1955,Good,11 m,2,1,After signing the deed,1,2000,1,6,Good,15 kg CO₂/m²,To be defined,Bruxelles (19 communes),19,To be done up,To renovate,26,Urban,,140,After signing the deed,No,Bruxelles (19 communes),12,1,Yes,Yes,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
12,Yes,No,2,1,1,4,30,South West,Yes,Bruxelles,As new,2,1,Urban,6,After signing the deed,September 1 2022 - 12:00 AM,1923,16,Semi equipped,45,USA installed,3,"€569,000",1030,8,5,20,1,1,12,12,2,425,Yes,No,Yes,6 m,Not specified,55,No,1930,12,10,Non flood zone,To be defined,1955,Good,11 m,2,1,After signing the deed,1,2000,1,6,Good,15 kg CO₂/m²,To be defined,Bruxelles (19 communes),19,To be done up,To renovate,26,Urban,,140,,No,250,12,1,Yes,Connected,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
Installed,Yes,No,Yes,1,1,Yes,14,South West,Yes,Depending on the tenant,Bruxelles,11,13,Good,6,After signing the deed,September 1 2022 - 12:00 AM,1923,2,Urban,45,USA installed,3,"€259,000",1080,105,5,38,11,2,20,2,1,No,Yes,No,Yes,6 m,,55,No,1930,14,10,Non flood zone,To be defined,1955,Good,11 m,2,1,After signing the deed,1,2000,1,6,Good,15 kg CO₂/m²,To be defined,Bruxelles (19 communes),19,To be done up,7 m,26,Urban,,140,,1970,250,12,1,Yes,Connected,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
19,Yes,No,Yes,1,1,Yes,14,South West,R Schaerbeek,2,Bruxelles,To renovate,Urban,Good,6,After signing the deed,September 1 2022 - 12:00 AM,1923,2,Urban,45,USA installed,3,"€269,000",1030,Yes,Not installed,1,1,1,Yes,No,8,No,Yes,After signing the deed,August 1 2022 - 12:00 AM,4,65,55,2,1930,14,1934,Non flood zone,To be defined,1955,Good,11 m,2,1,After signing the deed,1,2000,1,6,Good,15 kg CO₂/m²,To be defined,Bruxelles (19 communes),19,To be done up,7 m,26,Urban,,140,,1970,250,12,1,Yes,Connected,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
1,Yes,No,After signing the deed,1903,1,4,4,South West,2,"Living area (residential, urban or rural)",Bruxelles,20,Urban,Good,6,After signing the deed,September 1 2022 - 12:00 AM,1923,2,Urban,45,USA installed,3,"€270,000",1050,12,Not installed,1,12,1,1,1,10,No,Yes,As new,August 1 2022 - 12:00 AM,50,Hyper equipped,55,2,1930,14,1934,Non flood zone,To be defined,1955,Good,11 m,2,1,After signing the deed,1,2000,1,6,Good,15 kg CO₂/m²,To be defined,Bruxelles (19 communes),19,To be done up,7 m,26,Urban,,140,,1970,250,12,1,Yes,Connected,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
19,Yes,No,No,20,1,R Schaerbeek,3,South West,To renovate,Urban,Bruxelles,20,Urban,Good,6,After signing the deed,September 1 2022 - 12:00 AM,1923,2,Urban,45,USA installed,3,"€329,000",1030,Yes,Not installed,3,15,15,1,2,Yes,August 1 2022 - 12:00 AM,1934,4,August 1 2022 - 12:00 AM,50,120,55,2,1930,14,2,Non flood zone,To be defined,1955,Good,11 m,2,1,After signing the deed,1,2000,1,6,Good,15 kg CO₂/m²,To be defined,Bruxelles (19 communes),19,To be done up,7 m,26,Urban,,140,,1970,250,12,1,Yes,Connected,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
4,2,No,Yes,20,1,After signing the deed,2001,South West,2,Isolated,Bruxelles,212,Urban,Good,6,After signing the deed,September 1 2022 - 12:00 AM,1923,2,Urban,45,USA installed,3,"€420,000",4452,Installed,Not installed,3,15,15,25,1,800,August 1 2022 - 12:00 AM,1934,As new,4,,Yes,1,2,1930,14,2,Non flood zone,To be defined,1955,Good,11 m,2,1,After signing the deed,No,2000,1,6,Good,15 kg CO₂/m²,To be defined,Bruxelles (19 communes),19,To be done up,7 m,26,Urban,,140,,1970,250,12,1,Yes,Connected,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
Yes,2,No,No,1918,Yes,To renovate,,South West,Connected,Yes,40,11,Urban,4,6,After signing the deed,September 1 2022 - 12:00 AM,1923,2,1,45,USA installed,10,"€945,000",1060,Installed,Not installed,3,15,15,Yes,No,800,August 1 2022 - 12:00 AM,130,2,4,,Yes,1,2,Yes,84,2,Non flood zone,To be defined,1955,Good,11 m,2,1,After signing the deed,No,2000,1,6,Good,15 kg CO₂/m²,To be defined,Bruxelles (19 communes),19,To be done up,7 m,26,Urban,,140,,1970,250,12,1,Yes,Connected,2019,South West,860,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
15,2,2,No,1110,Yes,Connected,Yes,South West,Connected,Yes,40,2004,4,2,6,After signing the deed,September 1 2022 - 12:00 AM,1923,,300,45,USA installed,10,"€1,080,000",1330,USA hyper equipped,3,3,15,15,11,11,2,August 1 2022 - 12:00 AM,130,500,Yes,,Yes,1,As new,Yes,84,2,Non flood zone,To be defined,1955,Good,11 m,2,1,After signing the deed,2,2000,1,6,Good,15 kg CO₂/m²,To be defined,Bruxelles (19 communes),19,To be done up,"Living area (residential, urban or rural)",26,Urban,,140,,1970,Yes,12,June 1 2022 - 12:00 AM,Yes,Connected,2019,South West,After signing the deed,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
Yes,2,2,No,1110,Yes,Connected,Yes,South West,STRAND 2I,2,40,10,4,To be done up,6,After signing the deed,September 1 2022 - 12:00 AM,1923,Urban,89,45,USA installed,2,"€179,000",8370,1,3,3,Yes,15,11,11,2,August 1 2022 - 12:00 AM,130,500,Yes,,Yes,After signing the deed,As new,Yes,84,1969,Non flood zone,To be defined,1955,Good,11 m,2,1,After signing the deed,2,2000,1,6,Good,15 kg CO₂/m²,To be defined,Bruxelles (19 communes),19,To be done up,"Living area (residential, urban or rural)",1,Urban,,140,,1970,Semi equipped,12,June 1 2022 - 12:00 AM,Yes,Connected,2019,South West,After signing the deed,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
1,No,2,Good,1110,Yes,1,"Living area (residential, urban or rural)",South West,81,USA hyper equipped,40,7,4,To be done up,6,After signing the deed,September 1 2022 - 12:00 AM,1923,Urban,89,45,USA installed,2,"€230,000",1080,1,3,3,1,Yes,5,11,21,August 1 2022 - 12:00 AM,130,500,Yes,,Yes,After signing the deed,As new,Yes,84,1969,Non flood zone,To be defined,1955,Good,11 m,2,1,After signing the deed,2,2000,1,6,Good,15 kg CO₂/m²,To be defined,Bruxelles (19 communes),19,To be done up,"Living area (residential, urban or rural)",1,Urban,,140,,1970,Semi equipped,12,June 1 2022 - 12:00 AM,Yes,Connected,2019,South West,After signing the deed,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
Yes,No,2,After signing the deed,1110,Yes,Begijnenweide,2,South West,8,Good,40,Installed,4,To be done up,6,After signing the deed,September 1 2022 - 12:00 AM,1923,Urban,89,45,USA installed,2,"€149,500",2800,1,3,3,No,8,5,11,21,August 1 2022 - 12:00 AM,1967,500,Yes,,4,After signing the deed,As new,Yes,84,1969,Non flood zone,To be defined,1955,Good,11 m,2,1,After signing the deed,2,2000,1,6,Good,15 kg CO₂/m²,To be defined,Bruxelles (19 communes),19,To be done up,"Living area (residential, urban or rural)",1,Urban,,140,,1970,Semi equipped,12,15,Yes,Connected,2019,35,After signing the deed,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
1,No,2,1970,1110,Yes,5,2,South West,4,1,40,32,4,To be done up,6,After signing the deed,September 1 2022 - 12:00 AM,1923,Urban,89,45,USA installed,2,"€165,000",4520,2,3,3,1,Yes,No,Yes,21,2,Good,500,Yes,80,Installed,After signing the deed,As new,Yes,84,1969,Non flood zone,To be defined,1955,Good,11 m,2,1,After signing the deed,2,2000,1,6,Good,15 kg CO₂/m²,To be defined,Bruxelles (19 communes),19,To be done up,"Living area (residential, urban or rural)",1,Urban,,140,,1970,Semi equipped,12,15,Yes,Connected,2019,35,After signing the deed,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
Yes,Yes,2,1977,1110,Yes,4,1,South West,1,99,40,1,4,To be done up,6,After signing the deed,September 1 2022 - 12:00 AM,1923,Urban,89,45,USA installed,No,"€365,000",1330,Yes,3,3,1,Yes,460,Connected,21,To renovate,Good,500,Yes,2,Installed,After signing the deed,As new,Yes,84,1969,Non flood zone,To be defined,1955,Good,11 m,2,1,After signing the deed,2,2000,1,6,Good,15 kg CO₂/m²,To be defined,Bruxelles (19 communes),19,To be done up,"Living area (residential, urban or rural)",1,Urban,,140,,1970,Semi equipped,12,15,Yes,Connected,2019,35,After signing the deed,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
14,1,1955,1,1110,Yes,748,Yes,South West,1,99,Urban,1,32,Semi equipped,6,After signing the deed,September 1 2022 - 12:00 AM,1923,9,89,45,USA installed,3,"€389,000",3500,Yes,3,3,1,Yes,14,10,1,No,,5,Yes,2,Installed,After signing the deed,As new,Yes,84,1969,Non flood zone,To be defined,1955,Good,11 m,2,1,After signing the deed,2,2000,1,6,Good,15 kg CO₂/m²,To be defined,Bruxelles (19 communes),19,150,"Living area (residential, urban or rural)",1,Urban,,140,,1970,Semi equipped,12,15,Yes,Connected,2019,35,After signing the deed,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
14,13,1955,1,1110,No,697,Yes,South West,17 m,1,Urban,Countryside,32,155,6,After signing the deed,September 1 2022 - 12:00 AM,1923,9,Yes,45,USA installed,3,"€199,000",3740,Yes,3,3,1,Yes,4,13,1,Yes,,5,1958,2,Semi equipped,To renovate,As new,Yes,16,4,Non flood zone,To be defined,1955,Good,11 m,2,1,After signing the deed,2,2000,1,6,Good,15 kg CO₂/m²,To be defined,Bruxelles (19 communes),19,150,28,1,Urban,,140,,1970,Semi equipped,12,15,Yes,Connected,2019,35,After signing the deed,Bruxelles (19 communes),1,2,,1,Good,No,6,7,,,,,,
